lat,lng
42.01116982,-93.63868366
42.0112168,-93.63871434
42.0112287,-93.63869724
42.01122753,-93.63868358
42.01122162,-93.63867184
42.01122581,-93.63866949
42.01122581,-93.63866949
42.01122581,-93.63866949
42.01122581,-93.63866949
42.01122581,-93.63866949
42.01122581,-93.63866949
42.01122581,-93.63866949
42.01121743,-93.63866782
42.01121743,-93.63866782
42.01121743,-93.63866782
42.01121743,-93.63866782
42.01121743,-93.63866782
42.01121743,-93.63866782
42.01121743,-93.63866782
42.01121743,-93.63866782
42.01121743,-93.63866782
42.01121743,-93.63866782
42.01121676,-93.63866606
42.01121986,-93.63865826
42.01119371,-93.63867888
42.0112344,-93.63873756
42.01121479,-93.63872029
42.01121123,-93.63871928
42.01025397,-93.63876924
42.01025397,-93.63876924
42.00873752,-93.64018712
42.00873752,-93.64018712
42.00873752,-93.64018712
42.00873752,-93.64018712
42.00873752,-93.64018712
42.00873752,-93.64018712
42.00873752,-93.64018712
42.00877729,-93.64019643
42.0087977,-93.64018285
42.0087977,-93.64018285
42.0087977,-93.64018285
42.00877218,-93.64018813
42.00877218,-93.64018813
42.00877218,-93.64018813
42.00877218,-93.64018813
42.00877138,-93.64018553
42.00877138,-93.64018553
42.00877138,-93.64018553
42.00876991,-93.64014773
42.00876991,-93.64014773
42.00871241,-93.6399873
42.00877792,-93.63994941
42.00881077,-93.6402183
42.00888688,-93.63966887
42.00972226,-93.63886454
42.00972226,-93.63886454
42.00965563,-93.63886211
42.00966015,-93.63885792
42.00966439,-93.63887904
42.00966376,-93.63884694
42.00966376,-93.63884694
42.00966732,-93.63885088
42.01060119,-93.63741732
42.01065035,-93.63739352
42.01065035,-93.63739352
42.01065035,-93.63739352
42.01065035,-93.63739352
42.01066318,-93.63734415
42.01066318,-93.63734415
42.01065848,-93.6373641
42.01065848,-93.6373641
42.01071632,-93.63737441
42.01071632,-93.63737441
42.01071577,-93.6373905
42.01071577,-93.6373905
42.01071498,-93.63739125
42.01072868,-93.63738765
42.01074624,-93.63740265
42.01074624,-93.63740265
42.01074582,-93.63740584
42.01074817,-93.63739721
42.01074817,-93.63739721
42.01074817,-93.63739721
42.01075437,-93.63742202
42.01075437,-93.63742202
42.01075437,-93.63742202
42.01076032,-93.63741623
42.01076032,-93.63741623
42.01076317,-93.63736862
42.01087708,-93.63729863
42.01082759,-93.63720409
42.01082654,-93.63718967
42.01083358,-93.63716419
42.01083844,-93.63715338
42.01085106,-93.63717374
42.01085106,-93.63717374
42.01085106,-93.63717374
42.01085106,-93.63717374
42.01084515,-93.63718204
42.01084515,-93.63718204
42.01084515,-93.63718204
42.01086216,-93.63717659
42.01086216,-93.63717659
42.01087096,-93.63716293
42.01087096,-93.63716293
42.01087096,-93.63716293
42.01087096,-93.63716293
42.01087096,-93.63716293
42.01087096,-93.63716293
42.01087096,-93.63716293
42.01087096,-93.63716293
42.01087096,-93.63716293
42.01087096,-93.63716293
42.01087096,-93.63716293
42.01087096,-93.63716293
42.01087096,-93.63716293
42.01081476,-93.63696763
42.01081476,-93.63696763
42.01081451,-93.6369823
42.01081451,-93.6369823
42.01080361,-93.63700921
42.01080361,-93.63700921
42.01080361,-93.63700921
42.01080361,-93.63700921
42.01080361,-93.63700921
42.01079938,-93.63701616
42.01079938,-93.63701616
42.01079808,-93.63700812
42.01083492,-93.63690158
42.01083492,-93.63690158
42.01083492,-93.63690158
42.01083492,-93.63690158
42.01083492,-93.63690158
42.01083492,-93.63690158
42.01083492,-93.63690158
42.01083492,-93.63690158
42.01083492,-93.63690158
42.0114709,-93.63731414
42.0113111,-93.63781136
42.0113111,-93.63781136
42.0113111,-93.63781136
42.01129898,-93.63780515
42.01129576,-93.63780834
42.01129576,-93.63780834
42.01129228,-93.6378013
42.01127853,-93.63779292
42.01127853,-93.63779292
42.01127853,-93.63779292
42.01127853,-93.63779292
42.01127468,-93.63777062
42.01127468,-93.63777062
42.01127468,-93.63777062
42.01126558,-93.63774388
42.0112647,-93.63772452
42.01125523,-93.63771597
42.01125184,-93.63771329
42.01124547,-93.63768303
42.01119496,-93.63771639
42.01119496,-93.63771639
42.01112493,-93.63785637
42.01112623,-93.63804027
42.011151,-93.63817622
42.011151,-93.63817622
42.01114463,-93.63817362
42.01114463,-93.63817362
42.01121521,-93.63830262
42.01121521,-93.63830262
42.01124702,-93.63829667
42.01125288,-93.63832483
